url_length,dot_count,has_https,has_suspicious_keywords,has_ip_address,at_symbol_count,hyphen_count,double_slash_count,subdomain_depth,path_depth,has_suspicious_tld,has_redirect,special_char_ratio,brand_impersonation,domain_age_days,domain_expiry_days,has_valid_ssl,label
98,2,0,0,0,0,2,0,0,7,0,0,0.0102,0,-1,-1,-1,1
66,2,0,0,0,0,2,0,0,4,0,0,0.0,0,-1,-1,-1,1
108,4,0,0,0,0,6,0,0,2,0,0,0.0463,0,-1,-1,-1,0
41,2,0,0,0,0,0,0,0,4,0,0,0.0,0,-1,-1,-1,0
163,4,0,1,0,0,5,0,0,9,0,0,0.0368,0,-1,-1,-1,1
81,1,0,0,0,0,8,0,0,2,0,0,0.0123,0,-1,-1,-1,0
35,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
25,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
28,1,0,0,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,0
68,1,0,0,0,0,0,0,0,4,0,0,0.0,0,-1,-1,-1,1
119,1,0,0,0,0,0,0,0,6,0,0,0.0,1,-1,-1,-1,1
71,1,0,0,0,0,6,0,0,1,0,0,0.0,0,-1,-1,-1,0
42,2,0,0,0,0,2,0,0,1,0,0,0.0238,0,-1,-1,-1,0
47,2,0,0,0,0,2,0,0,1,0,0,0.0,0,-1,-1,-1,0
16,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
21,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
54,2,0,0,0,0,0,0,0,4,0,0,0.037,0,-1,-1,-1,0
67,1,0,0,0,0,0,0,0,3,0,0,0.0149,0,-1,-1,-1,1
52,2,0,0,0,0,2,0,0,5,0,0,0.0,0,-1,-1,-1,0
19,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
38,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
26,1,0,0,0,0,1,0,0,1,0,0,0.0,0,-1,-1,-1,0
51,1,0,0,0,0,1,0,0,6,0,0,0.0,0,-1,-1,-1,1
26,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
84,1,0,0,0,0,5,0,0,7,0,0,0.0,0,-1,-1,-1,0
34,1,0,0,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,0
44,3,0,0,0,0,1,0,0,5,0,0,0.0,0,-1,-1,-1,1
70,5,0,0,0,0,0,0,0,6,0,0,0.0143,0,-1,-1,-1,1
108,2,0,1,0,0,0,0,0,10,0,0,0.0,0,-1,-1,-1,1
20,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
32,2,0,1,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
54,3,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
23,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
37,2,0,0,0,0,2,0,0,2,0,0,0.0,0,-1,-1,-1,0
45,1,0,0,0,0,0,0,0,4,0,0,0.0,0,-1,-1,-1,0
46,2,0,0,0,0,0,0,0,3,0,0,0.0,1,-1,-1,-1,1
114,2,0,0,0,0,6,0,0,3,0,0,0.0702,0,-1,-1,-1,0
28,2,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,0
35,2,0,1,0,0,0,0,0,2,0,0,0.0571,0,-1,-1,-1,1
42,1,0,0,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,0
35,1,0,0,0,0,2,0,0,2,0,0,0.0,0,-1,-1,-1,0
74,1,0,0,0,0,2,0,0,5,0,0,0.0541,0,-1,-1,-1,0
166,2,0,1,0,0,0,0,0,2,0,0,0.0482,0,-1,-1,-1,1
26,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
11,1,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,-1,1
53,1,0,0,0,0,1,0,0,3,0,0,0.0,0,-1,-1,-1,1
21,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
29,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
24,2,0,0,0,0,0,0,0,1,0,0,0.0833,0,-1,-1,-1,0
56,2,0,0,0,0,1,0,0,7,0,0,0.0,0,-1,-1,-1,1
35,1,0,1,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,0
11,1,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,-1,1
58,1,0,0,0,0,1,0,0,1,0,0,0.1034,0,-1,-1,-1,1
33,2,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,1
17,1,0,0,0,0,0,0,0,0,0,0,0.0,0,-1,-1,-1,1
46,2,0,0,0,0,0,0,0,4,0,0,0.0,0,-1,-1,-1,0
42,2,0,0,0,0,8,0,0,3,0,0,0.0,0,-1,-1,-1,0
49,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
34,1,0,0,0,0,0,0,0,1,0,0,0.0,1,-1,-1,-1,0
77,6,0,1,0,0,0,0,0,6,0,0,0.0,0,-1,-1,-1,1
30,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
171,2,0,1,0,0,1,0,0,5,0,0,0.0234,0,-1,-1,-1,1
47,2,0,0,0,0,0,0,0,4,0,0,0.0,0,-1,-1,-1,0
34,1,0,0,0,0,0,0,0,2,0,0,0.0294,0,-1,-1,-1,0
37,2,0,0,0,0,0,0,0,3,0,0,0.027,0,-1,-1,-1,0
37,2,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,0
32,3,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
25,1,0,0,0,0,0,0,0,1,0,0,0.04,0,-1,-1,-1,0
123,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
152,4,0,1,0,0,4,0,0,5,0,0,0.0658,0,-1,-1,-1,1
18,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
62,2,0,0,0,0,0,0,0,4,0,0,0.0968,0,-1,-1,-1,0
103,2,0,1,0,0,12,0,0,2,0,0,0.0,0,-1,-1,-1,0
30,2,0,0,0,0,0,0,0,2,0,0,0.0333,0,-1,-1,-1,1
34,3,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,0
22,2,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
34,2,0,0,0,0,0,0,0,1,0,0,0.0294,0,-1,-1,-1,1
57,1,0,0,0,0,4,0,0,3,0,0,0.0,1,-1,-1,-1,0
22,3,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
81,1,0,0,0,0,0,0,0,2,0,0,0.1111,1,-1,-1,-1,0
78,2,0,0,0,0,6,0,0,2,0,0,0.0,0,-1,-1,-1,0
54,2,0,0,0,0,0,0,0,4,0,0,0.0185,0,-1,-1,-1,1
27,1,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
53,2,0,0,0,0,0,0,0,4,0,0,0.0,1,-1,-1,-1,1
22,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
31,2,0,0,0,0,0,0,0,1,0,0,0.0323,0,-1,-1,-1,1
35,1,0,0,0,0,0,0,0,2,0,0,0.0286,0,-1,-1,-1,1
35,3,0,0,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,1
54,2,0,0,0,0,2,0,0,3,0,0,0.0,0,-1,-1,-1,0
27,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
19,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
99,3,0,0,0,0,4,0,0,3,0,0,0.0707,1,-1,-1,-1,1
29,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
228,5,0,0,0,0,1,0,0,3,0,0,0.0,1,-1,-1,-1,1
27,2,0,1,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
53,2,0,0,0,0,0,0,0,3,0,0,0.0377,0,-1,-1,-1,0
53,3,0,1,0,0,1,0,0,4,0,0,0.0,0,-1,-1,-1,1
46,1,0,0,0,0,3,0,0,2,0,0,0.0,0,-1,-1,-1,0
24,4,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
80,2,0,0,0,0,8,0,0,3,0,0,0.0,0,-1,-1,-1,0
55,2,0,0,0,1,0,0,0,6,0,0,0.0182,0,-1,-1,-1,1
35,3,0,0,0,0,0,0,0,4,0,0,0.0,0,-1,-1,-1,0
96,1,0,0,0,0,10,0,0,2,0,0,0.0,0,-1,-1,-1,0
85,2,0,0,0,0,0,0,0,10,0,0,0.0471,0,-1,-1,-1,0
103,1,0,0,0,0,8,0,0,2,0,0,0.0,0,-1,-1,-1,0
45,2,0,0,0,0,0,0,0,5,0,0,0.0,0,-1,-1,-1,0
69,3,0,0,0,0,4,0,0,3,0,0,0.0145,0,-1,-1,-1,0
52,1,0,0,0,0,0,0,0,2,0,0,0.0962,0,-1,-1,-1,0
25,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
187,2,0,1,0,0,1,0,0,8,0,0,0.0374,0,-1,-1,-1,1
58,2,0,0,0,0,0,0,0,3,0,0,0.0345,0,-1,-1,-1,1
44,2,0,0,0,0,1,0,0,4,0,0,0.0227,0,-1,-1,-1,0
15,1,0,0,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
28,1,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,0
137,2,0,0,0,0,2,0,0,6,0,0,0.0511,0,-1,-1,-1,1
39,2,0,1,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
50,1,0,1,0,0,2,0,0,4,0,0,0.0,0,-1,-1,-1,1
48,2,0,0,0,0,2,0,0,2,0,0,0.0,0,-1,-1,-1,0
30,1,0,0,0,0,0,0,0,2,0,0,0.0,1,-1,-1,-1,1
25,3,0,1,0,0,0,0,0,1,0,0,0.0,0,-1,-1,-1,1
27,3,0,0,0,0,0,0,0,2,0,0,0.037,0,-1,-1,-1,1
104,2,0,1,0,0,7,0,0,2,0,0,0.0,0,-1,-1,-1,1
76,1,0,0,0,0,1,0,0,5,0,0,0.0,0,-1,-1,-1,1
26,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
27,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,0
53,1,0,0,0,0,1,0,0,5,0,0,0.0,0,-1,-1,-1,1
63,7,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,0
33,1,0,0,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,0
104,2,0,0,0,0,8,0,0,3,0,0,0.0,0,-1,-1,-1,0
18,1,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,1
65,2,0,0,0,0,0,0,0,6,0,0,0.0154,0,-1,-1,-1,1
54,2,0,0,0,0,2,0,0,3,0,0,0.0,0,-1,-1,-1,1
74,2,0,0,0,0,1,0,0,4,0,0,0.0405,0,-1,-1,-1,0
109,1,0,0,0,0,5,0,0,9,0,0,0.0,0,-1,-1,-1,0
46,1,0,0,0,0,3,0,0,1,0,0,0.0,0,-1,-1,-1,0
93,1,0,1,0,0,8,0,0,5,0,0,0.0,0,-1,-1,-1,1
46,2,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,0
39,2,0,0,0,0,1,0,0,2,0,0,0.0,0,-1,-1,-1,0
37,2,0,0,0,0,1,0,0,4,0,0,0.0,0,-1,-1,-1,1
36,3,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
25,2,0,0,0,0,0,0,0,3,0,0,0.0,0,-1,-1,-1,1
47,2,0,0,0,0,0,0,0,2,0,0,0.0638,0,-1,-1,-1,0
47,3,0,1,0,0,0,0,0,1,0,0,0.0638,0,-1,-1,-1,1
28,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
38,2,0,0,0,0,0,0,0,2,0,0,0.0,0,-1,-1,-1,1
